repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
Nutlope/roomGPT,Applications,Image production,9879,6,0.06%,12,0.12%,1310,Upload a photo of your room to generate your dream room with AI.,"Nutlope, ljwagerfield, Nick-h4ck3r",6,2023-02-21,2023-09-20,0
THUDM/ChatGLM-6B,Model repo,Multilingual,40372,6,0.01%,23,0.06%,5180,ChatGLM-6B: An Open Bilingual Dialogue Language Model | 开源双语对话语言模型,"duzx16, rainatam, Xiao9905",46,2023-03-13,2024-06-27,0
steven-tey/novel,Applications,Writing,12465,5,0.04%,135,1.08%,1025,Notion-style WYSIWYG editor with AI-powered autocompletion.,"steven-tey, andrewdoro, haydenbleasel",47,2023-03-21,2024-07-15,0
gptscript-ai/gptscript,Applications,Coding,2948,5,0.17%,29,0.99%,260,Build AI assistants that interact with your systems,"ibuildthecloud, thedadams, njhale",30,2024-01-29,2024-02-13,3475
cg123/mergekit,Model development,Modeling & training,4475,5,0.11%,41,0.92%,391,Tools for merging pretrained large language models.,"cg123, MonsterAzi, nyxkrage",22,2023-08-21,2024-08-30,0
openvinotoolkit/openvino,Infrastructure,Serving,6815,5,0.07%,42,0.62%,2166,OpenVINO™ is an open-source toolkit for optimizing and deploying AI inference,"ilya-lavrenov, ilyachur, rkazants",100+,2018-10-15,2024-09-12,256
Mozilla-Ocho/llamafile,Model development,Inference optimization,18915,5,0.03%,95,0.50%,960,Distribute and run LLMs with a single file.,"jart, stlhood, ahgamut",45,2023-09-10,2024-08-24,7643
modelscope/modelscope,AI engineering,AIE framework,6781,5,0.07%,30,0.44%,701,ModelScope: bring the notion of Model-as-a-Service to life.,"wenmengzhou, tastelikefeet, Firmament-cyou",100+,2022-07-25,2024-09-11,0
langchain-ai/langchainjs,AI engineering,AIE framework,12273,5,0.04%,51,0.42%,2071,🦜🔗 Build context-aware reasoning applications 🦜🔗,"jacoblee93, bracesproul, nfcampos",100+,2023-02-06,2024-09-11,0
camel-ai/camel,Applications,Bots,5309,5,0.09%,20,0.38%,645,🐫 CAMEL: Finding the Scaling Law of Agents. A multi-agent framework. https://www.camel-ai.org,"Wendong-Fan, lightaime, Obs01ete",45,2023-03-17,2024-09-11,8
TheRamU/Fay,AI engineering,AI interface,8874,5,0.06%,31,0.35%,1757,"Fay is an open-source digital human framework integrating language models and digital characters. It offers retail, assistant, and agent versions for diverse applications like virtual shopping guides, broadcasters, assistants, waiters, teachers, and voice or text-based mobile assistants.","xszyou, wangzai23333, TheRamU",4,2022-06-13,2024-04-19,0
karpathy/llm.c,Model development,Inference optimization,23227,5,0.02%,79,0.34%,2576,"LLM training in simple, raw C/CUDA","karpathy, ngc92, gordicaleksa",63,2024-04-08,2024-07-25,0
intel-analytics/BigDL,Model development,Inference optimization,6470,5,0.08%,21,0.32%,1237,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, Phi, MiniCPM, etc.) on Intel XPU (e.g., local PC with iGPU and NPU, discrete GPU such as Arc, Flex and Max); seamlessly integrate with llama.cpp, Ollama, HuggingFace, LangChain, LlamaIndex, GraphRAG, DeepSpeed, vLLM, FastChat, Axolotl, etc.","Oscilloscope98, MeouSker77, rnwang04",100+,2016-08-29,2024-09-12,57
intel-analytics/ipex-llm,Model development,Inference optimization,6470,5,0.08%,21,0.32%,1237,"Accelerate local LLM inference and finetuning (LLaMA, Mistral, ChatGLM, Qwen, Baichuan, Mixtral, Gemma, Phi, MiniCPM, etc.) on Intel XPU (e.g., local PC with iGPU and NPU, discrete GPU such as Arc, Flex and Max); seamlessly integrate with llama.cpp, Ollama, HuggingFace, LangChain, LlamaIndex, GraphRAG, DeepSpeed, vLLM, FastChat, Axolotl, etc.","Oscilloscope98, MeouSker77, rnwang04",100+,2016-08-29,2024-09-12,340
OpenBMB/AgentVerse,AI engineering,Agent,4029,5,0.12%,13,0.32%,383,"🤖 AgentVerse 🪐 is designed to facilitate the deployment of multiple LLM-based agents in various applications, which primarily provides two frameworks: task-solving and simulation","chenweize1998, yushengsu-thu, chanchimin",22,2023-05-06,2024-04-25,0
karpathy/nanoGPT,Model repo,,36159,5,0.01%,112,0.31%,5641,"The simplest, fastest repository for training/finetuning medium-sized GPTs.","karpathy, apivovarov, danielgross",35,2022-12-28,2024-06-03,0
Maartengr/BERTopic,Model development,Modeling & training,5983,5,0.08%,17,0.28%,749,Leveraging BERT and c-TF-IDF to create easily interpretable topics. ,"MaartenGr, afuetterer, freddyheppell",73,2020-09-22,2024-08-21,0
yihong0618/xiaogpt,AI engineering,AI interface,6074,5,0.08%,15,0.25%,846,Play ChatGPT and other LLM with Xiaomi AI Speaker,"yihong0618, frostming, pjq",45,2023-02-16,2024-05-22,0
facebookresearch/pytorch3d,Model development,Modeling & training,8658,5,0.06%,21,0.24%,1295,PyTorch3D is FAIR's library of reusable components for deep learning with 3D data,"bottler, nikhilaravi, davnov134",100+,2019-10-25,1000-01-01,0
facebookresearch/nougat,Applications,Info aggregation,8709,5,0.06%,21,0.24%,558,Implementation of Nougat Neural Optical Understanding for Academic Documents,"lukas-blecher, rajveer43, erip",14,2023-06-07,2023-09-18,86700
arogozhnikov/einops,Infrastructure,Toolings,8346,5,0.06%,19,0.23%,345,"Flexible and powerful tensor operations for readable and reliable code (for pytorch, jax, TF and others)","arogozhnikov, MilesCranmer, cgarciae",24,2018-09-22,2024-08-08,0
Vaibhavs10/insanely-fast-whisper,Model repo,,7233,5,0.07%,16,0.22%,516,,"Vaibhavs10, patrick91, felixcarmona",20,2023-10-10,2023-11-12,0
xcanwin/KeepChatGPT,Applications,Bots,14381,5,0.03%,30,0.21%,723,这是一款提高ChatGPT的数据安全能力和效率的插件。并且免费共享大量创新功能，如：自动刷新、保持活跃、数据安全、取消审计、克隆对话、言无不尽、净化页面、展示大屏、拦截跟踪、日新月异、明察秋毫等。让我们的AI体验无比安全、顺畅、丝滑、高效、简洁。,"xcanwin, Ezra-Chan, neoOpus",12,2023-03-28,2024-05-03,0
dusty-nv/jetson-inference,Infrastructure,Serving,7720,5,0.06%,16,0.21%,2968,Hello AI World guide to deploying deep-learning inference networks and deep vision primitives with TensorRT and NVIDIA Jetson.,"dusty-nv, tokk-nv, asierarranz",21,2016-07-30,2024-03-12,85218
erikbern/ann-benchmarks,AI engineering,Evals,4852,5,0.10%,10,0.21%,727,Benchmarks of approximate nearest neighbor libraries in Python,"erikbern, maumueller, ale-f",74,2015-05-28,2023-04-17,0
iterative/dvc,Infrastructure,Toolings,13593,5,0.04%,24,0.18%,1173,🦉 ML Experiments and Data Management with Git,"efiop, skshetry, pmrowla",100+,2017-03-04,2024-09-10,296166
activeloopai/deeplake,Infrastructure,VectorDB,8038,5,0.06%,14,0.17%,614,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai","FayazRahman, AbhinavTuli, verbose-void",100+,2019-08-09,2024-09-11,0
lm-sys/FastChat,Model development,Modeling & training,36404,5,0.01%,62,0.17%,4482,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.","merrymercy, infwinston, suquark",100+,2023-03-19,2024-09-09,0
vocodedev/vocode-python,AI engineering,AI interface,2754,4,0.15%,53,1.93%,458,🤖 Build voice-based LLM agents. Modular + open source.,"ajar98, Kian1354, HHousen",57,2023-02-24,2024-09-06,0
miurla/morphic,Applications,Bots,5893,4,0.07%,95,1.61%,1445,An AI-powered search engine with a generative UI,"miurla, casistack, leerob",22,2024-04-05,2024-09-09,0
QwenLM/Qwen-Agent,AI engineering,Agent,3065,4,0.13%,49,1.60%,300,"Agent framework and applications built upon Qwen2, featuring Function Calling, Code Interpreter, RAG, and Chrome extension.","JianxinMa, tuhahaha, zhenruzhang",16,2023-09-22,2024-08-14,0
nus-apr/auto-code-rover,Applications,Coding,2630,4,0.15%,31,1.18%,264,A project structure aware autonomous software engineer aiming for autonomous program improvement. Resolved 30.67% tasks (pass@1) in SWE-bench lite and 38.40% tasks (pass@1) in SWE-bench verified with each task costs less than $0.7.,"crhf, yuntongzhang, Marti2203",9,2024-04-08,2024-07-18,0
pytorch/torchtune,Model development,Modeling & training,3921,4,0.10%,37,0.94%,353,A Native-PyTorch Library for LLM Fine-tuning,"joecummings, ebsmothers, rohan-varma",76,2023-10-20,2024-09-11,0
Portkey-AI/gateway,Infrastructure,Serving,5840,4,0.07%,48,0.82%,402,"A Blazing Fast AI Gateway with integrated Guardrails. Route to 200+ LLMs, 50+ AI Guardrails with 1 fast & friendly API.","VisargD, roh26it, narengogi",36,2023-08-23,2024-09-11,0
turboderp/exllamav2,Model development,Inference optimization,3473,4,0.12%,25,0.72%,258,A fast inference library for running LLMs locally on modern consumer-class GPUs,"turboderp, SinanAkkoyun, awtrisk",44,2023-08-30,2024-09-07,305242
mikeroyal/Self-Hosting-Guide,Tutorials,,10375,4,0.04%,71,0.69%,552,"Self-Hosting Guide. Learn all about  locally hosting (on premises & private web servers) and managing software applications by yourself or your organization. Including Cloud, LLMs, WireGuard, Automation, Home Assistant, and Networking.","mikeroyal, Antoine-lb, bsamadi",13,2022-02-06,2024-02-11,0
marqo-ai/marqo,Infrastructure,VectorDB,4467,4,0.09%,27,0.60%,183,Unified embedding generation and search engine. Also available on cloud - cloud.marqo.ai,"pandu-k, wanliAlex, vicilliar",29,2022-08-01,2024-09-12,0
opendilab/awesome-RLHF,Lists,,3225,4,0.12%,18,0.56%,201,A curated list of reinforcement learning with human feedback resources (continually updated),"ruoyuGao, PaParaZz1, Cloud-Pku",24,2023-02-13,2024-08-30,0
yangjianxin1/Firefly,Model development,Modeling & training,5626,4,0.07%,30,0.53%,507,Firefly: 大模型训练工具，支持训练Qwen2、Yi1.5、Phi-3、Llama3、Gemma、MiniCPM、Yi、Deepseek、Orion、Xverse、Mixtral-8x7B、Zephyr、Mistral、Baichuan2、Llma2、Llama、Qwen、Baichuan、ChatGLM2、InternLM、Ziya2、Vicuna、Bloom等大模型,yangjianxin1,1,2023-04-02,2024-06-07,0
sqlchat/sqlchat,Applications,Coding,4483,4,0.09%,22,0.49%,400,Chat-based SQL Client and Editor for the next decade,"boojack, tianzhou, CorrectRoadH",12,2023-03-16,2024-06-07,0
reorproject/reor,Applications,Writing,6831,4,0.06%,27,0.40%,413,Private & local AI personal knowledge management app.,"samlhuillier, chuyouchia, joseplayero",20,2023-11-27,2024-09-07,14526
shibing624/pycorrector,Applications,Writing,5473,4,0.07%,21,0.38%,1086,pycorrector is a toolkit for text error correction. 文本纠错，实现了Kenlm，T5，MacBERT，ChatGLM3，LLaMA等模型应用在纠错场景，开箱即用。,"shibing624, okcd00, cclauss",19,2018-03-01,2024-01-31,1857
openai/openai-node,AI engineering,AI interface,7616,4,0.05%,29,0.38%,809,The official Node.js / Typescript library for the OpenAI API,"stainless-app[bot], schnerd, athyuttamre",22,2021-12-14,2024-09-11,0
GreyDGL/PentestGPT,Applications,Coding,6968,4,0.06%,26,0.37%,834,A GPT-empowered penetration testing tool,"GreyDGL, vmayoral, deepsource-autofix[bot]",21,2023-02-27,2024-04-12,0
google-deepmind/alphageometry,Model repo,Multimodal,4054,4,0.10%,15,0.37%,457,,thtrieu,1,2023-10-09,1000-01-01,0
lllyasviel/Fooocus,Applications,Image production,40068,4,0.01%,134,0.33%,5551,Focus on prompting and generating,"lllyasviel, mashb1t, MoonRide303",58,2023-08-09,2024-08-12,178670
CompVis/latent-diffusion,Model repo,,11455,4,0.03%,38,0.33%,1494,High-Resolution Image Synthesis with Latent Diffusion Models,"rromb, crowsonkb, AK391",4,2021-12-20,2022-07-26,0
threestudio-project/threestudio,Model repo,Multimodal,6122,4,0.07%,20,0.33%,468,A unified framework for 3D content generation.,"bennyguo, thuliu-yt16, DSaurus",28,2023-04-06,2024-08-09,0
Sinaptik-AI/pandas-ai,Applications,Coding,12533,4,0.03%,35,0.28%,1209,"Chat with your database (SQL, CSV, pandas, polars, mongodb, noSQL, etc). PandasAI makes data analysis conversational using LLMs (GPT 3.5 / 4, Anthropic, VertexAI) and RAG.","gventuri, ArslanSaleem, mspronesti",86,2023-04-22,2024-08-31,0
openai/guided-diffusion,Model repo,Multimodal,6056,4,0.07%,16,0.26%,807,,"unixpickle, LeeDoYup, prafullasd",5,2021-04-27,2022-07-15,0
postgresml/postgresml,AI engineering,AI interface,5890,4,0.07%,15,0.25%,292,Postgres with GPUs for ML/AI apps.,"levkk, montanalow, SilasMarvin",43,2022-04-11,2024-09-10,0
OpenBMB/ToolBench,AI engineering,AIE framework,4740,4,0.08%,12,0.25%,404,"[ICLR'24 spotlight] An open platform for training, serving, and evaluating large language model for tool learning.","pooruss, thuqinyj16, luyaxi",15,2023-05-28,2024-09-10,0
huggingface/accelerate,Model development,Modeling & training,7639,4,0.05%,18,0.24%,926,"🚀 A simple way to launch, train, and use PyTorch models on almost any device and distributed configuration, automatic mixed precision (including fp8), and easy-to-configure FSDP and DeepSpeed support","muellerzr, sgugger, pacman100",100+,2020-10-30,2024-09-11,0
google-deepmind/alphafold,Model repo,Multimodal,12282,4,0.03%,28,0.23%,2195,Open source code for AlphaFold.,"Augustin-Zidek, Htomlinson14, tomwardio",16,2021-06-17,1000-01-01,0
UKPLab/sentence-transformers,Model repo,Multilingual,14807,4,0.03%,28,0.19%,2433,State-of-the-Art Text Embeddings,"nreimers, tomaarsen, PhilipMay",100+,2019-07-24,2024-09-11,0
Baiyuetribe/paper2gui,Applications,Image production,10155,4,0.04%,18,0.18%,848,Convert AI papers to GUI，Make it easy and convenient for everyone to use artificial intelligence technology。让每个人都简单方便的使用前沿人工智能技术,"Baiyuetribe, KTK27YT, pengzhendong",3,2021-10-10,2022-09-11,33161
PaddlePaddle/PaddleNLP,Model development,Modeling & training,11948,4,0.03%,21,0.18%,2910,"👑 Easy-to-use and powerful NLP and LLM library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc. ","ZHUI, wawltor, sijunhe",100+,2021-02-05,2024-09-12,0
THUDM/CodeGeeX,Model repo,,8110,4,0.05%,14,0.17%,587,CodeGeeX: An Open Multilingual Code Generation Model (KDD 2023),"Stanislas0, BBuf, ss18",12,2022-09-17,2023-03-06,0
linexjlin/GPTs,Lists,,28258,4,0.01%,48,0.17%,3799,leaked prompts of GPTs,"linexjlin, anchit-h, michaelskyba",32,2023-11-11,2024-08-26,0
TencentARC/GFPGAN,Model repo,,35512,4,0.01%,50,0.14%,5884,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,"xinntao, amckenna41, AK391",11,2021-03-19,2022-02-14,5235104
jina-ai/clip-as-service,AI engineering,AI interface,12374,4,0.03%,9,0.07%,2062,"🏄 Scalable embedding, reasoning, ranking for images and sentences with CLIP","hanxiao, ZiniuYu, numb3r3",53,2018-11-12,2023-12-20,0
meta-llama/PurpleLlama,AI engineering,Evals,2507,4,0.16%,0,0.00%,414,Set of tools to assess and improve LLM security.,"SimonWan, dwjsong, cynikolai",24,2023-12-06,2024-04-18,0
lancedb/lancedb,Infrastructure,VectorDB,4061,3,0.07%,51,1.26%,281,"Developer-friendly, serverless vector database for AI applications. Easily add long-term memory to your LLM apps!","changhiskhan, eddyxu, wjones127",89,2023-02-28,2024-09-11,0
NVIDIA/cutlass,Model development,Inference optimization,5334,3,0.06%,60,1.13%,901,CUDA Templates for Linear Algebra Subroutines,"hwu36, kerrmudgeon, ANIKET-SHIVAM",100+,2017-11-30,2024-09-11,0
katanaml/sparrow,Applications,Workflow automation,3430,3,0.09%,31,0.90%,356,Data processing with ML and LLM,"abaranovskis-redsamurai, RockyNiu, MaxAtApplied",5,2022-01-08,2024-08-31,0
josStorer/RWKV-Runner,AI engineering,AIE framework,5034,3,0.06%,45,0.89%,480,"A RWKV management and startup tool, full automation, only 8MB. And provides an interface compatible with the OpenAI API. RWKV is a large language model that is fully open source and available for commercial use.","josStorer, eltociear, LonghronShen",10,2023-05-05,2024-08-30,35659
vespa-engine/vespa,Infrastructure,VectorDB,5611,3,0.05%,50,0.89%,588,"AI + Data, online. https://vespa.ai","baldersheim, jonmv, bjorncs",85,2016-06-03,2024-09-11,36452
huggingface/alignment-handbook,Tutorials,,4461,3,0.07%,33,0.74%,385,Robust recipes to align language models with human and AI preferences,"lewtun, edbeeching, kashif",27,2023-08-25,2024-08-20,0
lucidrains/vector-quantize-pytorch,Model development,Inference optimization,2363,3,0.13%,17,0.72%,196,"Vector (and Scalar) Quantization, in Pytorch","lucidrains, sekstini, MisterBourbaki",17,2020-06-09,2024-08-27,0
janhq/jan,Applications,Bots,21969,3,0.01%,152,0.69%,1263,"Jan is an open source alternative to ChatGPT that runs 100% offline on your computer. Multiple engine support (llama.cpp, TensorRT-LLM)","henryh0x1, louis-jan, urmauur",53,2023-08-17,2024-09-12,500955
defog-ai/sqlcoder,Applications,Coding,3279,3,0.09%,22,0.67%,205,SoTA LLM for converting natural language questions to SQL queries,"rishsriv, wendy-aw, cds-1993",6,2023-08-17,2024-05-23,0
lucidrains/x-transformers,Model repo,,4566,3,0.07%,26,0.57%,391,A simple but complete full-attention transformer with a set of promising experimental features from various papers,"lucidrains, gurvindersingh, jbcdnr",22,2020-10-24,2024-08-12,0
mshumer/gpt-author,Applications,Writing,2472,3,0.12%,14,0.57%,358,,mshumer,1,2023-06-20,1000-01-01,0
yl4579/StyleTTS2,Model repo,Multimodal,4702,3,0.06%,26,0.55%,382,StyleTTS 2: Towards Human-Level Text-to-Speech through Style Diffusion and Adversarial Training with Large Speech Language Models,"yl4579, fakerybakery, kmn1024",11,2023-06-14,2024-03-07,0
kserve/kserve,Infrastructure,Serving,3452,3,0.09%,16,0.46%,1030,Standardized Serverless ML Inference Platform on Kubernetes,"yuzisun, sivanantha321, andyi2it",100+,2019-03-27,2024-09-11,1110206
skypilot-org/skypilot,Infrastructure,Compute management,6498,3,0.05%,29,0.45%,465,"SkyPilot: Run AI and batch jobs on any infra (Kubernetes or 12+ clouds). Get unified execution, cost savings, and high GPU availability via a simple interface.","Michaelvll, concretevitamin, romilbhardwaj",84,2021-08-11,2024-09-12,0
towhee-io/towhee,Model development,Dataset engineering,3161,3,0.09%,14,0.44%,246,Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.,"Chiiizzzy, junjiejiangjjj, shiyu22",32,2021-07-13,2024-01-19,2613
mlfoundations/open_flamingo,Model development,Modeling & training,3651,3,0.08%,16,0.44%,277,An open-source framework for training large multimodal models.,"anas-awadalla, jpgard, i-gao",19,2022-10-20,2023-12-02,0
seatgeek/thefuzz,AI engineering,Dataset engineering,2751,3,0.11%,12,0.44%,136,Fuzzy String Matching in Python,"maxbachmann, hugovk, johnthedebs",13,2021-03-05,2024-02-27,0
InternLM/InternLM,Model repo,Multilingual,6221,3,0.05%,27,0.43%,438,Official release of InternLM2.5 base and chat models. 1M context support,"huangting4201, sunpengsdu, yingtongxiong",53,2023-07-06,2024-09-06,0
ggerganov/ggml,Model development,Inference optimization,10827,3,0.03%,44,0.41%,998,Tensor library for machine learning,"ggerganov, slaren, JohannesGaessler",100+,2022-09-18,2024-09-08,0
danswer-ai/danswer,Applications,Info aggregation,10215,3,0.03%,38,0.37%,1214,Gen-AI Chat for Teams - Think ChatGPT if it had access to your team's unique knowledge.,"Weves, yuhongsun96, pablodanswer",100+,2023-04-27,2024-09-12,0
PrefectHQ/marvin,AI engineering,Prompt engineering,5147,3,0.06%,17,0.33%,326,✨ Build AI interfaces that spark joy,"jlowin, zzstoatzz, aaazzam",44,2023-03-10,2024-04-14,0
princeton-nlp/SWE-agent,Applications,Coding,13273,3,0.02%,42,0.32%,1296,"SWE-agent takes a GitHub issue and tries to automatically fix it, using GPT-4, or your LM of choice. It solves 12.47% of bugs in the SWE-bench evaluation set and takes just 1 minute to run.","klieret, ofirpress, john-b-yang",51,2024-04-02,2024-09-10,0
li-plus/chatglm.cpp,Model development,Inference optimization,2911,3,0.10%,9,0.31%,334,C++ implementation of ChatGLM-6B & ChatGLM2-6B & ChatGLM3 & GLM4(V),"li-plus, wizardbyron, eltociear",14,2023-05-23,2024-07-31,832
Giskard-AI/giskard,AI engineering,Evals,3907,3,0.08%,12,0.31%,247,🐢 Open-Source Evaluation & Testing for ML models & LLMs,"andreybavt, kevinmessiaen, mattbit",48,2022-03-06,2024-09-03,250
AbdBarho/stable-diffusion-webui-docker,Infrastructure,Toolings,6583,3,0.05%,20,0.30%,1092,Easy Docker setup for Stable Diffusion with user-friendly UI,"AbdBarho, DevilaN, KagurazakaNyaa",23,2022-08-27,2024-06-23,186839
h2oai/h2ogpt,AI engineering,AIE framework,11214,3,0.03%,26,0.23%,1228,"Private chat with local GPT with document, images, video, etc. 100% private, Apache 2.0. Supports oLLaMa, Mixtral, llama.cpp, and more. Demo: https://gpt.h2o.ai/ https://gpt-docs.h2o.ai/","pseudotensor, arnocandel, achraf-mer",68,2023-03-24,2024-09-11,448
zhayujie/bot-on-anything,AI engineering,AI interface,3883,3,0.08%,9,0.23%,908,"Connect AI models (like ChatGPT-3.5/4.0, Baidu Yiyan, New Bing, Bard) to apps (like Wechat, public account, DingTalk, Telegram,  QQ).  将 ChatGPT、必应、文心一言、谷歌Bard 等对话模型连接各类应用，如微信、公众号、QQ、Telegram、Gmail、Slack、Web、企业微信、飞书、钉钉等。","zhayujie, RegimenArsenic, mouyong",21,2023-02-09,2024-08-24,0
xlang-ai/OpenAgents,Applications,Workflow automation,3892,3,0.08%,9,0.23%,425,[COLM 2024] OpenAgents: An Open Platform for Language Agents in the Wild,"taoyds, Timothyxxx, BlankCheng",16,2023-08-08,2024-05-28,0
microsoft/lida,Model repo,Multimodal,2682,3,0.11%,6,0.22%,286,Automatic Generation of Visualizations and Infographics using Large Language Models,"victordibia, Alfred-Onuada, bx-h",14,2023-03-09,2024-03-03,0
SCIR-HI/Huatuo-Llama-Med-Chinese,Model repo,,4477,3,0.07%,10,0.22%,446,"Repo for BenTsao [original name: HuaTuo (华驼)], Instruction-tuning Large Language Models with Chinese Medical Knowledge. 本草（原名：华驼）模型仓库，基于中文医学知识的大语言模型指令微调","s65b40, thinksoso, FlowolfzzZ",6,2023-03-31,2023-08-06,0
google/jax,Model development,Modeling & training,29788,3,0.01%,65,0.22%,2722,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more","hawkinsp, mattjj, jakevdp",100+,2018-10-25,2024-09-11,0
guidance-ai/guidance,AI engineering,Prompt engineering,18666,3,0.02%,40,0.21%,1030,A guidance language for controlling large language models.,"slundberg, marcotcr, riedgar-ms",69,2022-11-10,2024-09-11,0
facebookresearch/seamless_communication,Model repo,Multimodal,10745,3,0.03%,22,0.20%,1045,Foundational Models for State-of-the-Art Speech and Text Translation,"cndn, kauterry, mavlyutovr",35,2023-08-01,2024-08-15,0
cloneofsimo/lora,Model development,Modeling & training,6952,3,0.04%,14,0.20%,480,Using Low-rank adaptation to quickly fine-tune diffusion models.,"cloneofsimo, hdon96, levi",18,2022-12-08,2023-01-29,0
Nutlope/aicommits,Applications,Coding,7678,3,0.04%,15,0.20%,363,A CLI that writes your git commit messages for you with AI,"privatenumber, Nutlope, yusefren",24,2023-02-14,2023-02-15,0
rockbenben/ChatGPT-Shortcut,AI engineering,Prompt engineering,5901,3,0.05%,11,0.19%,702,"🚀💪Maximize your efficiency and productivity, support for English,中文,Español,العربية. 让生产力加倍的AI快捷指令。更有效地定制、保存和分享自己的提示词。在提示词分享社区中，轻松找到适用于不同场景的指令。","rockbenben, francisafu, CharlieJCJ",6,2023-02-24,2024-08-31,18
transitive-bullshit/chatgpt-api,Applications,Bots,16242,3,0.02%,30,0.18%,2121,AI agent stdlib that works with any LLM and TypeScript AI SDK.,"transitive-bullshit, waylaidwanderer, optionsx",100+,2022-12-03,2024-08-26,0
QData/TextAttack,Model development,Dataset engineering,2893,3,0.10%,5,0.17%,385,"TextAttack 🐙  is a Python framework for adversarial attacks, data augmentation, and model training in NLP https://textattack.readthedocs.io/en/master/","jxmorris12, qiyanjun, jinyongyoo",55,2019-10-15,2024-07-25,0
tinygrad/tinygrad,Model development,Modeling & training,26105,3,0.01%,45,0.17%,2871,You like pytorch? You like micrograd? You love tinygrad! ❤️ ,"geohot, chenyuxyz, Qazalin",100+,2020-10-18,2024-09-12,0
lucidrains/DALLE2-pytorch,Model repo,,11057,3,0.03%,16,0.14%,1076,"Implementation of DALL-E 2, OpenAI's updated text-to-image synthesis neural network,  in Pytorch","lucidrains, nousr, Veldrovive",17,2022-04-07,2023-10-04,0
karpathy/llama2.c,Model development,Inference optimization,17136,3,0.02%,24,0.14%,2030,Inference Llama 2 in one file of pure C,"karpathy, mpcusack-color, atamurad",88,2023-07-23,2024-05-29,0
kubeflow/kubeflow,Infrastructure,Compute management,14173,3,0.02%,19,0.13%,2374,Machine Learning Toolkit for Kubernetes,"jlewi, kunmingg, lluunn",100+,2017-11-30,2024-09-10,79387
JushBJJ/Mr.-Ranedeer-AI-Tutor,Applications,Education,28466,3,0.01%,38,0.13%,3275,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.,"JushBJJ, angelkurten, Livshitz",12,2023-03-31,2023-11-09,1864
microsoft/UFO,Applications,Workflow automation,7557,3,0.04%,10,0.13%,1025,A UI-Focused Agent for Windows OS Interaction.,"vyokky, Mac0q, Lenny2Liu",14,2024-01-08,2024-09-08,0
spotify/annoy,Infrastructure,VectorDB,13082,3,0.02%,17,0.13%,1155,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk,"erikbern, eddelbuettel, chdsbd",66,2013-04-01,2024-07-29,0
joke2k/faker,AI engineering,Dataset engineering,17568,3,0.02%,20,0.11%,1918,Faker is a Python package that generates fake data for you.,"fcurella, joke2k, jremes-foss",100+,2012-11-12,2024-09-04,0
ymcui/Chinese-LLaMA-Alpaca,Model repo,Multilingual,18150,3,0.02%,18,0.10%,1856,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs),"ymcui, airaria, iMountTai",10,2023-03-15,2023-07-18,0
openai/consistency_models,Model repo,Multimodal,6069,3,0.05%,4,0.07%,409,Official repo for consistency models.,"yang-song, sayakpaul, discus0434",9,2023-02-26,2023-08-12,0
OpenGVLab/LLaMA-Adapter,Model repo,,5686,3,0.05%,3,0.05%,371,[ICLR 2024] Fine-tuning LLaMA to follow Instructions within 1 Hour and 1.2M Parameters,"ZrrSkywalker, csuhan, ChrisLiu6",12,2023-03-19,2023-07-10,5086
leptonai/leptonai,AI engineering,AIE framework,2619,3,0.11%,0,0.00%,169,A Pythonic framework to simplify AI service building,"Yangqing, bddppq, xlu451",26,2023-09-06,2024-09-10,0
Exafunction/codeium.vim,Applications,Coding,4047,2,0.05%,34,0.84%,145,"Free, ultrafast Copilot alternative for Vim and Neovim","fortenforge, pqn, sullivan-sean",43,2023-01-03,2024-09-04,0
llm-attacks/llm-attacks,AI engineering,Evals,3265,2,0.06%,23,0.71%,457,Universal and Transferable Attacks on Aligned Language Models,"andyzoujm, zifanw505, justinwangx",3,2023-07-27,1000-01-01,0
huggingface/safetensors,Infrastructure,Toolings,2748,2,0.07%,19,0.69%,185,"Simple, safe way to store and distribute tensors","Narsil, mishig25, thomasw21",44,2022-09-22,2024-09-05,0
